"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Vikarabad,55,SC,Rangareddi,Dr. Anand Methuku,Telangana Rashtra Samithi,204629,150420,73.5 %,3092,2.1%
Wanaparthy,78,GEN,Mahbubnagar,Singireddy Niranjan Reddy,Telangana Rashtra Samithi,197814,183633,92.8 %,51685,28.1%
Wardhanapet,107,SC,Warangal,Aroori Ramesh,Telangana Rashtra Samithi,215898,183405,84.9 %,99240,54.1%
Warangal East,106,GEN,Warangal,Narendar Nannapuneni,Telangana Rashtra Samithi,220888,152861,69.2 %,28782,18.8%
Warangal West,105,GEN,Warangal,Dasyam Vinay Bhasker,Telangana Rashtra Samithi,250617,139589,55.7 %,36451,26.1%
Wyra,115,ST,Khammam,Lavudya Ramulu,Independent,165119,155484,94.2 %,2013,1.3%
Yakutpura,68,GEN,Hyderabad,Syed Ahmed Pasha Quadri,All India Majlis-E-Ittehadul Muslimeen,305131,141040,46.2 %,46978,33.3%
Yellandu,111,ST,Khammam,Haripriya Banoth,Indian National Congress,181425,162556,89.6 %,2887,1.8%
Yellareddy,15,GEN,Nizamabad,Jajala Surender,Indian National Congress,174542,166263,95.3 %,35148,21.1%
Zahirabad,38,SC,Medak,Koninty Manik Rao,Telangana Rashtra Samithi,196511,187015,95.2 %,34473,18.4%
